Ticker Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Country,Date first added,CIK,Financials?
ALLE,Allegion,reports,Industrials,Building Products,Dublin,Ireland,12/2/2013,1579241,1
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,Dublin,Ireland,,884629,0
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",United States,12/23/2013,1101215,1
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",United States,7/1/2016,352541,0
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",United States,,899051,1
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",United States,4/3/2014,1652044,0
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",United States,,1652044,0
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",United States,,764180,1
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",United States,11/18/2005,1018724,1
AEE,Ameren Corp,reports,Utilities,MultiUtilities,"St. Louis, Missouri",United States,9/19/1991,1002910,1
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",United States,3/23/2015,6201,1
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",United States,,4904,1
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",United States,6/30/1976,4962,1
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",United States,3/31/1980,5272,1
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",United States,11/19/2007,1053507,1
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Voorhees, New Jersey",United States,3/4/2016,1410636,1
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",United States,,820027,1
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",United States,,1140859,1
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",United States,9/23/2013,1037868,1
AMGN,Amgen Inc,reports,Health Care,Biotechnology,"Thousand Oaks, California",United States,1/2/1992,318154,1
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",United States,9/30/2008,820313,1
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",United States,,773910,1
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",United States,,6281,1
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",United States,,1156039,1
AON,Aon plc,reports,Financials,Insurance Brokers,London,United Kingdom,,315293,1
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,,6769,1
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,"Denver, Colorado",United States,,922864,1
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",United States,11/30/1982,320193,1
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",United States,,6951,1
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",United States,7/29/1981,7084,1
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,"New York, New York",United States,3/31/1964,4281,1
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",United States,5/31/2016,354190,1
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",United States,4/10/2007,1267238,1
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",United States,11/30/1983,732717,1
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",United States,12/1/1989,769397,1
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",United States,3/31/1981,8670,0
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",United States,,350698,1
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",United States,,866787,1
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia",United States,1/10/2007,915912,1
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",United States,12/31/1987,8818,1
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",United States,,808362,1
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",United States,10/31/1984,9389,1
BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",United States,6/30/1976,70858,1
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,"Murray Hill, New Jersey",United States,6/30/1975,9892,1
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",United States,9/30/1972,10456,1
BBT,BB&T Corporation,reports,Financials,Banks,"Winston-Salem, North Carolina",United States,,92230,1
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",United States,9/30/1972,10795,1
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",United States,,886158,1
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",United States,2/16/2010,1067983,0
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",United States,,764478,1
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,"Weston, Massachusetts",United States,,875045,1
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",United States,4/4/2011,1364742,0
HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",United States,11/30/1986,12659,0
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",United States,,12927,1
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",United States,12/19/2011,908255,1
BXP,Boston Properties,reports,Real Estate,REITs,"Boston, Massachusetts",United States,,1037540,1
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",United States,,885725,1
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",United States,,14272,1
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",United States,5/8/2014,1441634,0
BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",United States,10/31/1982,14693,0
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",United States,,1043277,1
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",United States,7/31/1987,356028,0
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,6/23/2008,858470,1
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",United States,,16732,1
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",United States,,927628,1
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",United States,,721371,1
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",United States,6/28/2010,1170010,1
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",United States,,815097,1
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",United States,,18230,1
CBG,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",United States,,1138118,1
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",United States,9/1/1994,813828,0
CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",United States,,816284,1
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",United States,3/30/2016,1071739,1
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,"Houston, Texas",United States,7/31/1985,1130310,1
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",United States,,18926,1
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",United States,4/30/2010,804753,1
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",United States,8/27/2008,1324404,1
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",United States,,316709,1
CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",United States,9/8/2016,1091667,1
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",United States,,895126,1
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",United States,,93410,1
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",United States,4/28/2011,1058090,1
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich,Switzerland,7/15/2010,896159,1
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",United States,12/29/2015,313927,1
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",United States,6/30/1976,701221,1
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",United States,6/21/2014,1168054,1
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",United States,,20286,1
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",United States,,723254,1
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",United States,12/1/1993,858877,1
C,Citigroup Inc.,reports,Financials,Banks,"New York, New York",United States,5/31/1988,831001,1
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",United States,1/29/2016,759944,1
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",United States,,877890,1
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",United States,,1156375,1
CMS,CMS Energy,reports,Utilities,MultiUtilities,"Jackson, Michigan",United States,,811156,1
COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",United States,,1116132,0
KO,Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",United States,,21344,1
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",United States,,1058290,1
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",United States,,21665,1
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",United States,9/18/2015,1166691,0
CMA,Comerica Inc.,reports,Financials,Regional Banks,"Dallas, Texas",United States,,28412,1
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",United States,8/31/1983,23217,1
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",United States,2/22/2016,1358071,1
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,,1163165,0
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",United States,,1047862,1
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",United States,,16918,0
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",United States,,24741,1
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",United States,10/1/1993,909832,1
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",United States,10/3/2016,1024305,0
CCI,Crown Castle International Corp.,reports,Real Estate,REITs,"Houston, Texas",United States,3/14/2012,1051470,1
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",United States,12/1/2015,1646383,1
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",United States,9/30/1967,277948,1
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",United States,3/31/1965,26172,1
CVS,CVS Health,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",United States,,64803,1
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",United States,,882184,1
DHR,Danaher Corp.,reports,Industrials,Industrial Conglomerates,"Washington, D.C.",United States,,313616,1
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",United States,,940944,1
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",United States,7/31/2008,927066,1
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",United States,,315189,1
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,Kent,United Kingdom,12/24/2012,1521332,1
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",United States,9/11/2013,27904,1
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",United States,11/14/2008,818479,1
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",United States,,1090012,1
DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,"San Francisco, California",United States,5/18/2016,1297996,1
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",United States,7/2/2007,1393612,1
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",United States,3/1/2010,1437107,1
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",United States,8/7/2014,1437107,0
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",United States,12/3/2012,29534,1
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",United States,12/19/2011,935703,1
D,Dominion Resources,reports,Utilities,Electric Utilities,"Richmond, Virginia",United States,,715957,1
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",United States,10/31/1985,29905,1
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",United States,,29915,0
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",United States,10/7/2008,1418135,1
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,"Detroit, Michigan",United States,,936340,0
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",United States,,30554,1
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",United States,6/30/1976,1326160,1
DNB,Dun & Bradstreet,reports,Industrials,Research & Consulting Services,"Short Hills, New Jersey",United States,12/2/2008,1115222,1
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",United States,3/31/2004,1015780,1
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",United States,1/1/1994,915389,1
ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,Dublin,Ireland,,1551182,1
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",United States,,1065088,1
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",United States,1/31/1989,31462,1
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",United States,,827052,0
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",United States,4/1/2011,1099800,1
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",United States,,712515,1
EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",United States,3/31/1965,32604,1
ENDP,Endo International,reports,Health Care,Pharmaceuticals,Dublin,Ireland,1/27/2015,1100962,0
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",United States,,65984,1
EVHC,Envision Healthcare Corp,reports,Health Care,Health Care Services,"Nashville, Tennessee",United States,12/2/2016,895930,0
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",United States,,821189,1
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",United States,12/19/2008,33213,1
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",United States,,33185,1
EQIX,Equinix,reports,Real Estate,REITs,"Redwood City, California",United States,3/20/2015,1101239,1
EQR,Equity Residential,reports,Real Estate,REITs,"Chicago, Illinois",United States,,906107,1
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",United States,4/2/2014,920522,1
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",United States,,1001250,1
ES,Eversource Energy,reports,Utilities,MultiUtilities,"Springfield, Massachusetts",United States,,72741,1
EXC,Exelon Corp.,reports,Utilities,MultiUtilities,"Chicago, Illinois",United States,,1109357,1
EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",United States,10/2/2007,1324424,1
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",United States,10/10/2007,746515,0
ESRX,Express Scripts,reports,Health Care,Health Care Distributors,"Cool Valley, Missouri",United States,9/25/2003,1532063,0
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",United States,1/19/2016,1289490,1
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",United States,,34088,1
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",United States,12/20/2010,1048695,1
FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",United States,12/23/2013,1326801,1
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",United States,9/15/2009,815556,1
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",United States,2/1/2016,34903,1
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",United States,12/31/1980,1048911,1
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",United States,,1136893,1
FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",United States,,35527,0
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",United States,10/16/2009,1274494,1
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",United States,,1031296,1
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",United States,,798354,1
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",United States,1/2/2009,354908,1
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",United States,10/2/2008,30625,1
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",United States,3/31/1980,1124198,1
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",United States,8/19/2009,37785,1
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",United States,6/5/2009,1135152,0
FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,"New York, New York",United States,4/4/2016,850209,1
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",United States,,37996,1
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",United States,7/1/2016,1659166,0
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",United States,6/22/2016,1519751,1
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",United States,,38777,0
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Copper,"Phoenix, Arizona",United States,,831259,1
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",United States,,20520,1
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",United States,8/31/1986,39911,1
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,Schaffhausen,Switzerland,12/12/2012,1121788,1
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",United States,,40533,1
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",United States,,40545,0
GGP,General Growth Properties Inc.,reports,Real Estate,Retail REITs,"Chicago, Illinois",United States,12/10/2013,895648,0
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",United States,3/31/1969,40704,1
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",United States,6/6/2013,1467858,1
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",United States,12/31/1973,40987,1
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",United States,,882095,1
GPN,Global Payments Inc,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",United States,4/25/2016,1123360,1
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",United States,,886982,0
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",United States,,42582,1
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,"Lake Forest, Illinois",United States,6/30/1981,277135,1
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",United States,,45012,1
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",United States,3/20/2015,1359841,1
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",United States,,793952,1
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",United States,,800459,0
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",United States,9/22/2008,202058,0
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",United States,,874766,1
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",United States,9/30/1984,46080,1
HCA,HCA Holdings,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",United States,1/27/2015,860730,1
HCP,HCP Inc.,reports,Real Estate,REITs,"Long Beach, California",United States,3/31/2008,765880,1
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",United States,,46765,0
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",United States,3/17/2015,1000228,0
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",United States,5/31/1984,4447,1
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",United States,11/2/2015,1645590,0
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",United States,3/30/2016,859737,1
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",United States,3/31/1988,354950,1
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",United States,3/31/1964,773840,0
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",United States,3/4/2009,48465,0
HST,Host Hotels & Resorts,reports,Real Estate,REITs,"Bethesda, Maryland",United States,3/20/2007,1070750,0
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,"Palo Alto, California",United States,12/31/1974,47217,0
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",United States,,49071,0
HBAN,Huntington Bancshares,reports,Financials,Banks,"Columbus, Ohio",United States,,49196,1
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",United States,1/5/2017,874716,0
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",United States,2/28/1986,49826,1
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",United States,11/19/2015,1110803,0
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,Dublin,Ireland,11/17/2010,1466258,0
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",United States,12/31/1976,50863,1
ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",United States,9/26/2007,1571949,0
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",United States,,51143,0
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",United States,,51434,1
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",United States,10/1/1992,51644,1
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",United States,3/31/1976,51253,0
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",United States,12/5/2000,896878,1
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",United States,6/2/2008,1035267,1
